time_sec,active_gpus
0.000,1
4.000,1
20.000,1
21.000,2
71.000,2
72.000,3
132.000,4
192.000,4
324.000,3
375.000,2
444.000,2
461.000,2
466.000,2
467.000,3
469.000,3
470.000,4
544.000,4
604.000,4
664.000,4
724.000,3
873.000,2
881.000,2
955.000,3
1015.000,2
1063.000,1
1064.000,2
1203.000,3
1226.000,2
1235.000,2
1236.000,3
1337.000,4
1397.000,4
1457.000,2
1517.000,2
1581.000,1
1582.000,1
1583.000,2
1643.000,4
1732.000,3
1792.000,2
1850.000,1
1851.000,2
1894.000,2
1895.000,3
1989.000,4
2022.000,3
2098.000,3
2134.000,3
2208.000,4
2268.000,3
2370.000,2
2374.000,2
2512.000,3
2532.000,2
2593.000,3
2629.000,2
2693.000,3
2753.000,2
2801.000,1
2802.000,2
2865.000,3
2925.000,2
3004.000,1
3038.000,1
3042.000,1
3043.000,2
3048.000,2
3049.000,3
3051.000,3
3052.000,3
3118.000,4
3178.000,4
3238.000,4
3298.000,4
3373.000,2
3374.000,3
3389.000,3
3390.000,4
3454.000,4
3514.000,4
3574.000,4
3634.000,2
3696.000,3
3715.000,2
3732.000,2
3733.000,3
3745.000,3
3746.000,4
3813.000,4
3873.000,4
3933.000,4
3993.000,3
4053.000,3
4113.000,2
4273.000,1
4274.000,2
4295.000,2
4296.000,2
4297.000,3
4298.000,4
4359.000,4
4419.000,4
4479.000,4
4539.000,4
4805.000,2
4865.000,1
4940.000,0
4941.000,1
4961.000,2
5021.000,4
5081.000,3
5116.000,2
5121.000,2
5181.000,4
5213.000,2
5214.000,3
5315.000,4
5375.000,4
5452.000,2
5453.000,3
5517.000,3
5577.000,4
5592.000,2
5593.000,3
5657.000,4
5717.000,4
5798.000,2
5799.000,3
5804.000,3
5805.000,4
5868.000,4
5928.000,4
5988.000,4
6048.000,3
6107.000,2
6108.000,3
6171.000,3
6208.000,3
6302.000,4
6362.000,4
6447.000,2
6448.000,3
6522.000,4
6582.000,3
6646.000,3
6706.000,1
6713.000,1
6714.000,2
6728.000,2
6729.000,3
6802.000,4
6862.000,4
6979.000,3
6980.000,2
6989.000,2
6990.000,3
7001.000,3
7061.000,4
7121.000,4
7144.000,3
7222.000,4
7282.000,2
7284.000,2
7285.000,3
7346.000,4
7406.000,3
7476.000,2
7536.000,3
7596.000,3
7656.000,1
7660.000,1
7661.000,2
7724.000,2
7732.000,2
7733.000,2
7734.000,3
7747.000,3
7748.000,4
7810.000,4
7870.000,4
7915.000,3
7916.000,4
7917.000,4
7978.000,4
8038.000,4
8098.000,4
8158.000,4
8168.000,3
8237.000,3
8244.000,3
8262.000,3
8322.000,4
8382.000,4
8442.000,3
8579.000,3
8639.000,2
8699.000,1
8717.000,1
8782.000,1
8855.000,1
8958.000,1
8976.000,1
9108.000,1
9109.000,2
9125.000,2
9126.000,3
9187.000,4
9247.000,4
9307.000,2
9311.000,2
9396.000,2
9401.000,2
9406.000,2
9408.000,3
9410.000,3
9411.000,4
9471.000,4
9531.000,4
9591.000,4
9651.000,3
9711.000,3
9749.000,2
9831.000,3
9864.000,2
9945.000,3
9950.000,2
10000.000,2
